model,term,coefficient,standard_error,p_value,ci_low_coef,ci_high_coef,odds_ratio,ci_low_or,ci_high_or,is_contact_term
glm_contact_x_age,const,-2.905264847908513,0.13408969989912006,4.2413540089756706e-104,-3.1680758304085725,-2.6424538654084535,0.054734292418797285,0.04208449775682032,0.07118637327924143,False
glm_contact_x_age,bin__contact_binary,0.7691379466049606,0.07305519533041578,6.406385855098253e-26,0.6259523948738069,0.9123234983361143,2.1579052222228863,1.8700261128759925,2.4901015638414217,True
glm_contact_x_age,num__age,0.0011186690235133875,0.043908410902632124,0.9796742315799588,-0.08494023496403141,0.08717757301105819,1.0011192949670915,0.9185671809616033,1.0910904107266388,False
glm_contact_x_age,num__previous,0.06747738696457234,0.01563670968473931,1.5937274876663386e-05,0.03682999914577463,0.09812477478337005,1.0698060677618666,1.037516627132156,1.103100415637316,False
glm_contact_x_age,num__emp.var.rate,-2.3853124787840674,0.21212889855645398,2.4610677595711736e-29,-2.8010774800348677,-1.9695474775332669,0.09206020822236965,0.06074457628326885,0.13951997785653153,False
glm_contact_x_age,num__cons.price.idx,1.2860862650489764,0.13874787963369922,1.8749129164532472e-20,1.0141454180356275,1.5580271120623252,3.618596578058478,2.757006302492573,4.749441879366833,False
glm_contact_x_age,num__cons.conf.idx,0.18247112905845667,0.03480804407842615,1.5866334957262799e-07,0.11424861629245871,0.25069364182445464,1.200179500141189,1.1210307967619562,1.2849163793891927,False
glm_contact_x_age,num__euribor3m,0.30896545840223766,0.21651362739313376,0.15357921286141868,-0.1153934534504294,0.7333243702549047,1.3620153235054366,0.8910155018071108,2.0819904229513764,False
glm_contact_x_age,num__nr.employed,0.5144416949263001,0.21442705459200265,0.016433385079375532,0.0941723906149709,0.9347109992376292,1.6727043617222728,1.09874914363208,2.546477417471022,False
glm_contact_x_age,cat__job_blue-collar,-0.15883726534713696,0.0753484134390863,0.03502776392823964,-0.3065174419799799,-0.011157088714294022,0.8531351823308813,0.7360056806710572,0.9889049207706306,False
glm_contact_x_age,cat__job_entrepreneur,-0.06227698865592891,0.11841115910030946,0.5989309305790235,-0.2943585958601777,0.1698046185483199,0.939622585945401,0.7450092862909634,1.185073287360219,False
glm_contact_x_age,cat__job_housemaid,-0.053812535261356556,0.13810559789674323,0.69679703915471,-0.3244945332023439,0.2168694626796308,0.947609733262883,0.7228926595469617,1.2421819404520007,False
